"run","id","auc","pauc","k_pca"
82,"06",0.907715506408645,0.0569112842422719,486
83,"00",0.552796090020459,0.0124744260059104,471
83,"02",0.735203145478375,0.0147182175622543,511
83,"04",0.497226056128386,0.00184568753213715,487
83,"06",0.845229701144438,0.0267315723816239,480
84,"00",0.523214457368067,0.0044121887916947,467
84,"02",0.684128079864061,0.0184420135938827,508
84,"04",0.542551246899073,0.0110197153675414,488
84,"06",0.819355766465344,0.0288179465056083,473
85,"00",0.564313431519534,0.00778287326924773,475
85,"02",0.684785776741475,0.0107781987758671,508
85,"04",0.602572278911565,0.0107514880952381,486
85,"06",0.849008834302952,0.0278065072182719,479
86,"00",0.541394335511983,0.00923697761933056,463
86,"02",0.715738161559889,0.0232869080779944,502
86,"04",0.511372241807024,0.00996213604909256,489
86,"06",0.87647190133378,0.037471399073609,471
87,"00",0.514756749472171,0.00670904272045281,469
87,"02",0.658885793871866,0.0145682451253482,508
87,"04",0.531076509928474,0.0147803857773646,478
87,"06",0.907993966817496,0.0579131652661064,471
88,"00",0.498748083801737,0.00149463464486459,468
88,"02",0.729813664596273,0.0120699952221691,504
88,"04",0.520140214703765,0.00403430252574254,484
88,"06",0.866758241758242,0.0423669467787115,485
89,"00",0.530109245936584,0.00482280841993072,467
89,"02",0.80109292881032,0.011759436215958,501
89,"04",0.571919722719141,0.0121422182468694,487
89,"06",0.82605058240556,0.0157732157796512,490
90,"00",0.537077686581409,0.0072532926130941,471
90,"02",0.701554455940421,0.0165766981556455,505
90,"04",0.535027072053311,0.00977370540052755,488
90,"06",0.85960669678448,0.0314376826999734,482
91,"00",0.537190444882753,0.00260793337716414,473
91,"02",0.729608525904822,0.0110636277302944,507
91,"04",0.508413461538462,0.00387969588550984,488
91,"06",0.846616972477064,0.0384956213511259,489
92,"00",0.534462269756387,0.00608536343830461,473
92,"02",0.778689400823133,0.0211555935645946,506
92,"04",0.451051140599374,0.00345907261070523,484
92,"06",0.850066449196569,0.0314365108130965,483
93,"00",0.534389118523503,0.00124723637412285,473
93,"02",0.657467532467533,0.0129257534917912,516
93,"04",0.538342479245814,0.00410862529900098,484
93,"06",0.839016653449643,0.0317605075337034,487
94,"00",0.538268535262206,0.00297016274864376,479
94,"02",0.696614301191766,0.0085373781148429,505
94,"04",0.524866607698234,0.00986104374126173,483
94,"06",0.876603833359734,0.0422514388299276,484
95,"00",0.515559529892693,0.00758814512008175,472
95,"02",0.709226072700548,0.0229690768274069,509
95,"04",0.502663493142922,0.00339453700555366,487
95,"06",0.826842684268427,0.0327145214521452,488
96,"00",0.567522067522068,0.00362635362635362,466
96,"02",0.663313091807328,0.0152377521613833,502
96,"04",0.559993792675357,0.0141837368094351,496
96,"06",0.851490184111484,0.0336588342996643,481
97,"00",0.557881343246345,0.0100194601067811,472
97,"02",0.649593495934959,0.0170430593194821,509
97,"04",0.562929780009701,0.0120381202385368,487
97,"06",0.885848489813753,0.0430170954175542,490
98,"00",0.499900970489206,0.00170825906120024,469
98,"02",0.668870086374053,0.0194429754979728,496
98,"04",0.549477583861538,0.0117478510028653,490
98,"06",0.900488927236123,0.0448231233822261,480
99,"00",0.523834770181181,0.00209072887372643,466
99,"02",0.656663055254605,0.0154875406283857,510
99,"04",0.619253812636166,0.0121132897603486,486
99,"06",0.858288770053476,0.0260136120563928,484
100,"00",0.506904932884052,0.00301607468375407,474
100,"02",0.620027855153203,0.0107520891364903,506
100,"04",0.512536443148688,0.00574760516451478,488
100,"06",0.890288924558587,0.0397137506688068,473
